turbine [MW],site,seed,x_points,y_points,LCOE [€/MWh],avg_water_depth [m],AEP [GWh],AEP without wake loss [GWh],Wake loss [%],Monopile Cost [M€],n_possible_points
8,EIB1S,1,19,14,61.42052275293645,-37.88227366375923,3609.706932798198,3791.8702953006687,4.804050463651904,475.7220580291843,111.0
8,EIB1S,1,22,17,61.24372421299132,-37.55462021891075,3619.644070274184,3791.8702953006687,4.541986186603675,474.5031872143479,160.0
8,EIB1S,1,25,20,61.13632530757919,-37.49747708882585,3626.322770145248,3791.8702953006687,4.3658541105846025,474.29061477043217,218.0
8,EIB1S,1,28,23,61.22517905541397,-37.734017295676686,3621.610082837303,3791.8702953006687,4.490138090281525,475.1705443399172,284.0
8,EIB1S,1,31,26,61.09829719596957,-37.59380439119682,3629.1965218975897,3791.8702953006687,4.2900669256720985,474.64895233525215,358.0
8,EIB1S,1,34,29,61.04669644422622,-37.47285748311149,3632.015620517197,3791.8702953006687,4.215721064657269,474.1990298371747,440.0
12,EIB1S,1,19,14,60.4622417590874,-37.67250237361786,3671.1604659350432,3825.4784014468055,4.033951294912522,474.9417088298584,111.0
12,EIB1S,1,22,17,60.42909505724155,-37.60841070232202,3673.076016458816,3825.4784014468055,3.9838778054622144,474.7032878126378,160.0
12,EIB1S,1,25,20,60.33482482436154,-37.45794504837972,3678.675570581296,3825.4784014468055,3.837502541119788,474.1435555799725,218.0
12,EIB1S,1,28,23,60.26045684502265,-37.42343811105846,3683.475119915848,3825.4784014468055,3.712039819052471,474.0151897731375,284.0
12,EIB1S,1,31,26,60.3109416314868,-37.78189835305035,3681.681348589773,3825.4784014468055,3.758929936779876,475.3486618733473,358.0
12,EIB1S,1,34,29,60.25550544601816,-37.30534570460963,3683.28800762038,3825.4784014468055,3.7169310320154754,473.57588602114777,440.0
17,EIB1S,1,19,14,59.758688018828416,-37.73910241850994,3738.615398768712,3871.218820378345,3.425366215714809,477.7442430452272,111.0
17,EIB1S,1,22,17,59.686972819521976,-37.65038875548727,3743.123459439517,3871.218820378345,3.3089155349350614,477.4124539455224,160.0
17,EIB1S,1,25,20,59.61861815707333,-37.405812864117536,3746.718506323301,3871.218820378345,3.21604951390676,476.4977401117996,218.0
17,EIB1S,1,28,23,59.66610597414097,-37.56574994189929,3744.175577568848,3871.218820378345,3.2817375794086856,477.09590478270337,284.0
17,EIB1S,1,31,26,59.60639886243666,-37.431425785766045,3747.671026298464,3871.218820378345,3.1914443438205646,476.593532438765,358.0
17,EIB1S,1,34,29,59.6227723450066,-37.62361812286744,3747.4036744789046,3871.218820378345,3.1983504845468773,477.3123317795242,440.0
22,EIB1S,1,19,14,59.42467399641258,-37.63411117217342,3761.0906165133806,3879.411369054264,3.0499666388751145,477.3515757839285,111.0
22,EIB1S,1,22,17,59.3679568341596,-37.30319845100826,3763.5334128811232,3879.411369054264,2.9869984167569705,476.1139622067709,160.0
22,EIB1S,1,25,20,59.43647096869996,-37.46284839890657,3759.5101245056576,3879.411369054264,3.090707149673492,476.7110530119105,218.0
22,EIB1S,1,28,23,59.32346344464032,-37.1437639419975,3765.9018767241664,3879.411369054264,2.925946272044084,475.5176771430706,284.0
22,EIB1S,1,31,26,59.29013150223207,-37.3795241364408,3769.2705088347775,3879.411369054264,2.839112683384647,476.3994202702886,358.0
22,EIB1S,1,34,29,59.30856632418214,-37.36100520562337,3767.908083894541,3879.411369054264,2.874232056161284,476.33015946903134,440.0
8,EIB1S,1,20,15,61.37313906824177,-37.75336220292333,3612.187648977922,3791.8702953006687,4.738628495426927,475.24250739487474,124.0
8,EIB1S,1,21,16,61.26339041746164,-37.66353915454136,3618.847331559328,3791.8702953006687,4.562997947365743,474.90836565489377,144.0
8,EIB1S,1,23,18,61.205003869755885,-37.5566649002027,3622.1464925901705,3791.8702953006687,4.475991779593301,474.510793428754,178.0
8,EIB1S,1,24,19,61.17072403073104,-37.339990893712255,3623.423552252116,3791.8702953006687,4.442312893911784,473.7047661246097,197.0
8,EIB1S,1,26,21,61.28168973738184,-37.6575011614699,3617.644745293642,3791.8702953006687,4.594712804996183,474.885904320668,239.0
8,EIB1S,1,27,22,61.20642221296066,-37.607738892369134,3622.274983545084,3791.8702953006687,4.472603189137747,474.70078867961314,260.0
8,EIB1S,1,29,24,61.17879155755772,-37.7319901700884,3624.591757566773,3791.8702953006687,4.411504737944406,475.1630034327288,306.0
8,EIB1S,1,30,25,61.11750227513177,-37.49464232849353,3627.526893653612,3791.8702953006687,4.334098712467305,474.280069461996,335.0
8,EIB1S,1,32,27,61.11794452097539,-37.46074620764732,3627.352139812776,3791.8702953006687,4.338707357469017,474.15397589244793,380.0
8,EIB1S,1,33,28,61.093086159118215,-37.50914757489024,3629.16845534639,3791.8702953006687,4.290807102656379,474.3340289785917,412.0
12,EIB1S,1,20,15,60.3933983706868,-37.37546152035583,3674.425364234971,3825.4784014468055,3.948605151050023,473.8367168557236,124.0
12,EIB1S,1,21,16,60.341237557052274,-37.47825630267008,3678.338114891792,3825.4784014468055,3.846323808791189,474.2191134459326,144.0
12,EIB1S,1,23,18,60.36799753364301,-37.52053516652545,3676.745116645122,3825.4784014468055,3.887965613540839,474.3763908194746,178.0
12,EIB1S,1,24,19,60.3717537158169,-37.64935008886884,3677.058662268049,3825.4784014468055,3.879769367476336,474.8555823305921,197.0
12,EIB1S,1,26,21,60.30234000588265,-37.53048027231712,3681.153838301385,3825.4784014468055,3.772719330759683,474.41338661301967,239.0
12,EIB1S,1,27,22,60.251128281979945,-37.47685713991585,3684.331002386257,3825.4784014468055,3.689666605022941,474.21390856048697,260.0
12,EIB1S,1,29,24,60.26661629072128,-37.416994529094346,3683.0363838825074,3825.4784014468055,3.723508607718872,473.99121964823087,306.0
12,EIB1S,1,30,25,60.35180968285973,-37.97087948782213,3679.789245235997,3825.4784014468055,3.8083905049812463,476.0516716946983,335.0
12,EIB1S,1,32,27,60.30323406810846,-37.598805033935896,3681.393296628653,3825.4784014468055,3.7664597652324674,474.6675547262415,380.0
12,EIB1S,1,33,28,60.28655934869431,-37.41095045490444,3681.68137784476,3825.4784014468055,3.758929172039272,473.9687356922445,412.0
17,EIB1S,1,20,15,59.78854957032349,-37.58039054389234,3735.8729599725134,3871.218820378345,3.496207956351177,477.1506606341573,124.0
17,EIB1S,1,21,16,59.69450470069364,-37.5961713512252,3742.3668305613473,3871.218820378345,3.3284605132293943,477.2096808535823,144.0
17,EIB1S,1,23,18,59.65233355334837,-37.390620886761056,3744.339501021024,3871.218820378345,3.2775031648797794,476.4409221164863,178.0
17,EIB1S,1,24,19,59.676066709202416,-37.42363635184454,3742.8611104351808,3871.218820378345,3.3156924446502813,476.5643999558986,197.0
17,EIB1S,1,26,21,59.73842482666738,-37.60407296628102,3739.399211004866,3871.218820378345,3.405119046217996,477.23923289389097,239.0
17,EIB1S,1,27,22,59.70454670250526,-37.15555646104273,3739.720266374722,3871.218820378345,3.396825653755513,475.5617811642998,260.0
17,EIB1S,1,29,24,59.69199031101384,-37.46680595742768,3741.963410531677,3871.218820378345,3.3388815214025023,476.72585428077946,306.0
17,EIB1S,1,30,25,59.63975488709482,-37.66574892019074,3746.4265409005984,3871.218820378345,3.223591464807732,477.4699009615133,335.0
17,EIB1S,1,32,27,59.66039358435496,-37.32202738598118,3743.4820654157647,3871.218820378345,3.299652148056474,476.1843824235696,380.0
17,EIB1S,1,33,28,59.603770402263606,-37.04297333075397,3746.1206404429336,3871.218820378345,3.2314933807638786,475.14072025701984,412.0
22,EIB1S,1,20,15,59.39513703628919,-37.44944478300489,3762.306961653815,3879.411369054264,3.018612780654853,476.66092348843824,124.0
22,EIB1S,1,21,16,59.37090410639236,-37.38951461363034,3763.715640971128,3879.411369054264,2.98230110387446,476.4367846549775,144.0
22,EIB1S,1,23,18,59.335974240177634,-37.326377303990846,3765.852443704715,3879.411369054264,2.92722051225088,476.2006511169257,178.0
22,EIB1S,1,24,19,59.45594380540415,-37.76746056738369,3759.52667896678,3879.411369054264,3.0902804235661674,477.850302522015,197.0
22,EIB1S,1,26,21,59.414428316332014,-37.30448128585419,3760.3249831065664,3879.411369054264,3.0697024527390844,476.1187600090946,239.0
22,EIB1S,1,27,22,59.42104266322628,-37.31205823945324,3759.901825486477,3879.411369054264,3.080610231776531,476.1470978155551,260.0
22,EIB1S,1,29,24,59.32557565556017,-37.53100855336014,3767.489697526357,3879.411369054264,2.8850168461302483,476.965971989567,306.0
22,EIB1S,1,30,25,59.27244068903315,-37.39375055190423,3770.5629260887727,3879.411369054264,2.8057979061918044,476.4526270641218,335.0
22,EIB1S,1,32,27,59.30832757427708,-37.2993262606818,3767.6483368271206,3879.411369054264,2.880927583980076,476.09948021495,380.0
22,EIB1S,1,33,28,59.27421415952685,-37.16215498995261,3769.401556632384,3879.411369054264,2.835734650349761,475.5864596624228,412.0
